label,text
0,Effective but too-tepid biopic
0,"Emerges as something rare , an issue movie that 's so honest and keenly observed that it does n't feel like one ."
0,The film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .
0,Offers that rare combination of entertainment and education .
1,Perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .
0,Steers turns in a snappy screenplay that curls at the edges ; it 's so clever you want to hate it .
0,But he somehow pulls it off .
0,Take Care of My Cat offers a refreshingly different slice of Asian cinema .
1,"This is a film well worth seeing , talking and singing heads and all ."
0,What really surprises about Wisegirls is its low-key quality and genuine tenderness .
1,"-LRB- Wendigo is -RRB- why we go to the cinema : to be fed through the eye , the heart , the mind ."
1,"One of the greatest family-oriented , fantasy-adventure movies ever ."
1,"Ultimately , it ponders the reasons we need stories so much ."
1,An utterly compelling ` who wrote it ' in which the reputation of the most famous author who ever lived comes into question .
1,"The movie 's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries ."
1,"A thoughtful , provocative , insistently humanizing film ."
0,"With a cast that includes some of the top actors working in independent film , Lovely & Amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives ."
0,A disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by Philip Glass .
1,"Not for everyone , but for those with whom it will connect , it 's a nice departure from standard moviegoing fare ."
1,Scores a few points for doing what it does with a dedicated and good-hearted professionalism .
1,"Occasionally melodramatic , it 's also extremely effective ."
1,An idealistic love story that brings out the latent 15-year-old romantic in everyone .
1,"At about 95 minutes , Treasure Planet maintains a brisk pace as it races through the familiar story ."
0,"However , it lacks grandeur and that epic quality often associated with Stevenson 's tale as well as with earlier Disney efforts ."
1,It helps that Lil Bow Wow ... tones down his pint-sized gangsta act to play someone who resembles a real kid .
0,"Guaranteed to move anyone who ever shook , rattled , or rolled ."
0,"A masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview ."
1,"Light , cute and forgettable ."
0,"If there 's a way to effectively teach kids about the dangers of drugs , I think it 's in projects like the -LRB- unfortunately R-rated -RRB- Paid ."
0,"While it would be easy to give Crush the new title of Two Weddings and a Funeral , it 's a far more thoughtful film than any slice of Hugh Grant whimsy ."
0,"Though everything might be literate and smart , it never took off and always seemed static ."
0,"Cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate Vincent 's days"
0,"Ms. Fulford-Wierzbicki is almost spooky in her sulky , calculating Lolita turn ."
1,"Though it is by no means his best work , Laissez-Passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them ."
