label	text
1	losing time 
1	Good morning beautiful people  - coffee &amp; sun ... 
1	@Lee_Knight lmao! thanks Lee XD, would u like to join in our craziness as well lolol  ROFL come &amp; join we don't bite.. not hard anyway! ;)
1	busy @ PPUKM with Dr Yamin..  http://irc.jombuatduit.net
0	@salancaster  hope your ok.
1	Another day in work and life. Is it a pigeon day today ? or a statue day ? or neither?  hoping for calm neither day i think 
1	@Steve_Buscemi And the weather in England, at this hour of the morning (6:47 am) is cool, gloomy &amp; crap. YOU have a nice day, mate! 
0	@ginayates Sorry to hear about Maggie.    Thoughts to your mum.
1	going to bed. My bb isn't working &amp; I'm bored.  Night all. Love me harder tomorrow, than you did today. Peace, Prayers, &amp; Blessings.
0	I had such a nice day. Too bad the rain comes in tomorrow at 5am 
0	@mandayyy 
0	@Kal_Penn most confusing hour of my life. 
1	@tommcfly awake already? big question, and i have 79 thingys left, can i do an interview with you guys the 18th in A'dam? please reply 
1	I feel so free  watching FRIENDS my favorite show!
0	When to the shoe repair shop and the guy could not find my shoes!  So I have to go back and see if he can find them in a couple days. 
0	@addersop I have a habbit of misspelling bought. 
0	@scarletjac thanks, I know that video is harrowing, especially the last 2 minutes  I must admit I cried
0	@Schofe not off the side of the bridge I hope? 
0	@LoveMeagan how i mss the snippet hun?..wts it of may i ask?..i wanna hear 
0	Morning All, I'm back from my little break from the computer. back to work again today 
0	Waiting at the airport for my ride while I get harassed by 2 men trying to sell me ugly hats.. Why me?!  I just want to sleep..
1	Maybe if I jus listen to hawaiian music everyday my life will be more relaxing haha no? (via @lisakimfleming)worked for me 
1	@ninjaguitarsex I'm pretty sure the show part is just for before the show. Then it's like Twitter for the whole NIN fan community. 
1	@cheekipoo Don't let that stop you coming along 
1	@jerichoK haha its 3pm here. good afternoon! 
0	@theresawhite this is true, lol but it's still a slap in the face after such a warm end of march 
0	my throat is raw. 
1	@dougiemcfly @tommcfly good morning tom and dougie, how are you today? 
0	@LadyLDN I hope you feel better soon  Being ill is no fun at all.
1	that damn house wants 3,000 more than we offered...ugh...may not be too out of reach though 
0	Foot is out of commission  ouch! Running this morning did not help...not smart.
1	@JayJayKlees Well, I think you should go search for the pot of gold 
0	still no &quot;followers&quot;   please some1 inform me on how this works????
0	...but first the other workathlon: 3 sets of management accounts one after the other. 
1	just found his iPod! 
0	@JinxCat Unlike my sister...I still don't have one 
0	&quot;Blip.fm is undergoing maintenance.&quot; sorry, no music tweets for now. I'm shaking already 
1	@stylekid  the mint ones are the fall cookies.  The spring ones are the chocolate/vanilla.  I think I can still get some mint ones. 
0	all the photos i try to upload are too big 
0	@oishiieats 
1	finally back on twitter 
1	going to sleep! twitter has been on drugs today. Nighty night! 
1	@nanalipzz89 lol okay than 
0	@hollaglam my fav English teacher, she just had miscarriage.  &amp; u knw wht makes me sad even more? she was going to name her baby Tamara 
1	@framolamdu PYT is an excellent song 
0	@ExMi  I hope he comes back.
1	@ruhanirabin and again this would help  http://technorati.com/tag/barcampkl
1	@DaRealSunisaKim Thanks for the Twitter add, Sunisa! I got to meet you once at a HIN show here in the DC area and you were a sweetheart. 
0	 Body Of Missing Northern Calif. Girl Found: Police have found the remains of a missing Northern California girl .. http://tr.im/imji
0	@tpaw wooo yeah! Sorry to hear you missed out on Origin tickets 
0	ok my TWEET PEEP i must head to bed now...Got to take a test in Law tomorrow  ...is it summer yet?  anyway much love and HUGGERS
0	is thinking he's going to have to reinstall WoW as it simply refuses to update to 3.1.0  irritating times  It'll take forever 
1	@DrSecret Nice to meet you too buddy 
0	chick corea was tonight...and I missed it  ...now she sobs
0	i hate to see the spartans so sad 
0	@phlaimeaux where are you? 
1	@markhoppus hey mark, i want to know if the song &quot;Life's So Boring&quot; is really blink 182 , please tell me  doubt been on my head for years
0	No electricity today, so no tweets. 
1	@Mgpotter You're cute 
1	Well, tomorow should be fun. I don't know why! But I'm tired. Goodnight kids 
0	homework.... 
1	Mmmmm wings  http://twitpic.com/2y4o6
1	Sleeeeeeeeeep, then an interview tomorrow! Wish me luck 
1	i... just belted 'a dark congregation' for no reason. think i got back at my upstairs neighbors for the sound system 
0	@Brodhe geez ur no fun are you 
0	came back from running and took a shower...why does my lower stomach still hurt after exercising? 
1	@markhoppus lol youÃ¯Â¿Â½re so fucking funny 
0	@OscarTG Morning. No sun here unfortunately 
0	@HoptonHouseBnB I'm thinking of getting my old FM tuner from the garage as I'm having problems when my PC just stops playing audio 
1	My left eye is causing most of the problem. Considering a makeshift eye patch 
1	@HeavyHand 
1	@Chifor cu placere 
0	waiting for my Cisco IP phone to load 
1	must sleep, big day tomorrow. two tests AND class registration for next sem. ahh! goodnight, twitterers 
0	I'm tired. I feel like crap. And the world feels all crummy. Make me happy, USB disco mouse. 
0	Train late again!! ... I'm gonna have to walk the hall of shame 
1	@LaGiggles Have a beautiful y safe trip!!! Lots of hugs y hearts 
1	@inlookout Did you try looking in your junk mail? Pls DM me your email so I can check it out for you 
0	@LizDinkel lol, I figured as much...but you never know. We don't talk anymore, maybe you became easily offended... 
0	@ekim1406 hehehe too bad they were separated 
0	Sittin here w/Kayla, I really really reallly dis-like having a brother.  He doesn't know when to stop. I'm waiting for the day when one of
0	_secretgarden_ I haven't gotten any porn spammers  I don't check my followers, but haven't had any tweets like that.
1	@marshawrites Thanks so much! 
0	@Contempted Did the heroics ever go through! If not sorry! 
1	@edinatl yup, HAWX is awesome, I love that game  Co-Op multiplayer taking on tanks, bombers, fighters! It's amazingly fun 
1	@dmf71 rrrrrr you so very sweet a big hi to you!!!!!!! 
0	aaaaand back to my literature review  At least i have a friendly cup of coffee to keep me company.
1	@Rachel_New  Well, I hope you have a good time, even if it is just coffee. 
0	Guten Morgen. Up and off to get ready to go to Phantasialand, Cologne. Yay! But booooo, last park of holiday 
1	@ladygaga Can't wait to see ur hot ass in Austin! woot woot!!! annnd love the bob with purple, i went the royal color way as well 
0	@stephenkruiser So sorry to hear about your dog. 
0	It's 6.20pm - early days in a looooooong night at work 
1	@thalovebug 
1	is sitting around...wondering what's next!  
1	@brandonjshaw alex has a problem staying awake for any movie... 
1	@ddlovato I saw u were on and I just wanted to say hi! U r an amazin person + an inspiration.Thank you so much! I hope I can meet u 1 day 
0	@hartym looks interesting but lot of 500 errors on the documentation website 
0	yes it is  and i got ripped off do not shop at WOW. !!!
1	Night all, back for more tomorrow 
0	hot deadline... 
0	dierks bentley is comin' to columbus, OH!! i wanna go so bad 
0	We've been good. I'm not liking the snow right now, was getting used to the nice Spring-like weather.  How about you?
1	watching &quot;The Princess Bride&quot; I want a Wesley!!! 
1	@JonathanRKnight A truly great place to eat is the Canteen in Ottumwa.  Loose meat hamburgers in a tiny cafe.  Everyone's friendly. 
0	@childhoodflames whats wrong! 
0	@moony394 yeah  is it bcoz kal penn is a visiting lecturer somewhere n cant be on the show anymore? im gonna miss him 
0	@NileLegania glad I was able help you feel better. I hate to see you sick  Love you!
1	@DaKing240 jealous regaring Godfather II. I hope I will get it next week delivered by Amozon UK. I want this game 
1	@JonathanRKnight There is no way on earth that you can answer everyone  Will you ask Donnie if he got the gift from my 9 yr old lastnight?
0	argh ive eaton so so much today 
